,Gender,Pevious semester mark percentage,Number of Arrear papers, Using mobile phone for non-academic purposes,Interfere with your sleeping?,Before going to sleep/just after waking up ,Survive without mobilephone,Usage is more in ,Screening time,Distracted during class or while studying,Check phone during class,Use phone late at night (exam the next day),Unable to focus in class due to lack of sleep caused by phone usage,Headaches or eye strain as a result of excessive phone use,Anxiety,Depression,Sleep disturbances,Social isolation,Attention and concentration difficulties,Irritability and aggression,Impaired cognitive functioning ,Low self-esteem,Addiction,cluster
59,Male,70% - 90%,0,2 hours,No,Yes,Yes,Social media,1-3 hours,Only when it is necessary,No,No,No,No,0,0,0,1,0,0,0,0,1,0
60,Male,Above 90%,0,More than 4 hours,Yes,Yes,No,Social media,More than 5 hours,Often,Yes,Yes,No,Yes,0,0,1,0,0,0,0,0,0,1
61,Male,Below 50%,above 4,3 hours,Sometimes,Yes,Yes,Browsing,3-5 hours,Only when it is necessary,No,Yes,Yes,Yes,1,1,0,0,1,1,0,0,0,1
62,Female,50% - 70%,3,More than 4 hours,No,Yes,No,Social media,More than 5 hours,Often,No,No,No,No,0,0,1,0,1,0,0,0,1,0
63,Male,70% - 90%,1,More than 4 hours,No,Yes,No,Social media,More than 5 hours,Very often,Yes,Yes,No,Yes,0,0,0,0,1,0,0,0,1,1
64,Female,70% - 90%,0,2 hours,No,No,No,Basic purposes ( Calls ),Less than 1 hour,Only when it is necessary,No,No,No,No,1,0,0,1,0,0,0,0,0,0
65,Male,50% - 70%,above 4,More than 4 hours,Yes,Yes,No,Social media,1-3 hours,Only when it is necessary,No,Yes,No,No,0,0,0,0,0,0,0,0,1,1
66,Female,70% - 90%,0,3 hours,Yes,Yes,Yes,Social media,1-3 hours,Often,Yes,No,Yes,Yes,0,1,1,0,0,0,0,1,0,1
67,Female,70% - 90%,0,3 hours,No,Yes,Yes,Social media,1-3 hours,Often,No,No,No,Yes,1,0,0,1,0,0,0,0,0,0
68,Female,70% - 90%,0,3 hours,Yes,Yes,Yes,Social media,3-5 hours,Very often,No,No,Yes,Yes,0,0,1,0,1,0,0,0,1,1
69,Female,70% - 90%,0,3 hours,Sometimes,Yes,No,Social media,3-5 hours,Often,No,No,No,Yes,0,0,1,0,1,0,0,0,0,0
70,Male,70% - 90%,0,More than 4 hours,Yes,Yes,No,Social media,More than 5 hours,Always,Yes,Yes,No,No,1,1,1,1,1,1,1,1,1,1
71,Male,70% - 90%,0,2 hours,No,Yes,Yes,Browsing,3-5 hours,Always,Yes,No,Yes,Yes,0,0,0,0,0,0,0,0,0,0
72,Male,50% - 70%,1,2 hours,Yes,Yes,No,Academic works,1-3 hours,Often,No,Yes,Yes,Yes,0,0,1,1,1,0,1,1,1,1
73,Male,50% - 70%,0,More than 4 hours,Sometimes,Yes,Yes,Browsing,1-3 hours,Only when it is necessary,No,No,No,No,0,0,0,1,1,0,1,1,0,0
74,Male,70% - 90%,0,3 hours,Sometimes,Yes,No,Social media,3-5 hours,Often,No,No,No,No,0,0,1,0,1,0,0,0,1,0
75,Male,70% - 90%,0,1 hour,No,Yes,No,Browsing,Less than 1 hour,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,0,0
76,Male,70% - 90%,0,3 hours,Yes,Yes,Yes,Social media,3-5 hours,Only when it is necessary,No,Yes,Yes,Yes,0,0,1,0,1,0,0,0,1,1
77,Male,Below 50%,1,3 hours,No,Yes,Yes,Social media,1-3 hours,Always,No,No,Yes,No,0,0,0,0,0,1,0,0,0,0
78,Male,70% - 90%,0,1 hour,Yes,Yes,No,Social media,Less than 1 hour,Often,Yes,Yes,Yes,No,0,0,0,0,0,0,0,0,0,1
79,Male,70% - 90%,0,More than 4 hours,Sometimes,Yes,Yes,Social media,3-5 hours,Only when it is necessary,Yes,No,No,No,0,0,0,0,0,0,0,0,1,0
80,Male,70% - 90%,1,2 hours,No,Yes,Yes,Browsing,1-3 hours,Only when it is necessary,No,No,No,No,0,0,0,0,0,0,0,0,1,0
81,Male,70% - 90%,0,More than 4 hours,Sometimes,Yes,No,Social media,3-5 hours,Very often,No,No,No,Yes,0,0,0,1,0,0,0,0,0,0
82,Male,70% - 90%,0,More than 4 hours,No,Yes,No,Social media,3-5 hours,Only when it is necessary,No,Yes,No,No,0,0,0,0,0,0,0,0,0,0
83,Male,70% - 90%,1,More than 4 hours,Sometimes,Yes,Yes,Browsing,More than 5 hours,Only when it is necessary,No,No,No,Yes,0,0,0,0,1,0,1,0,0,0
84,Male,70% - 90%,0,More than 4 hours,Yes,Yes,No,Social media,3-5 hours,Very often,Yes,Yes,Yes,Yes,0,0,1,0,0,0,0,0,1,1
85,Male,70% - 90%,0,More than 4 hours,No,Yes,Yes,Social media,3-5 hours,Only when it is necessary,No,Yes,No,No,0,0,0,1,1,1,0,1,0,0
86,Male,70% - 90%,0,3 hours,Sometimes,Yes,Yes,Social media,3-5 hours,Only when it is necessary,Yes,Yes,Yes,Yes,0,0,0,0,0,0,0,0,0,1
87,Male,70% - 90%,0,2 hours,Sometimes,Yes,Yes,Social media,1-3 hours,Only when it is necessary,No,No,No,Yes,0,0,0,0,1,0,0,0,1,0
88,Male,50% - 70%,0,2 hours,Sometimes,Yes,Yes,Social media,1-3 hours,Often,No,No,Yes,No,0,0,0,0,1,0,0,0,0,0
89,Male,70% - 90%,2,3 hours,No,No,No,Browsing,1-3 hours,Often,Yes,Yes,No,Yes,0,0,0,0,0,0,0,1,0,0
